Standard_Title,CompanyName,avg_salary_inr,skills_list
Software Engineer,Google,1800000,"['Java', 'Python', 'C++', 'Data Structures', 'Algorithms', 'Problem-solving', 'Object-Oriented Programming', 'Software Design Principles', 'Version Control (Git)', 'Testing and Debugging', 'Communication', 'Teamwork', 'Agile Development', 'SQL', 'Cloud Computing (GCP preferred)']"
Software Engineer,Microsoft,1200000,"['Java', 'Python', 'C#', 'C++', 'Data Structures', 'Algorithms', 'SQL', 'Object-Oriented Programming', 'Problem-solving', 'Version Control (Git)', 'Agile Methodologies', 'Teamwork', 'Communication', 'Debugging', 'Testing']"
AI/ML Engineer,Apple,1800000,"['Python', 'TensorFlow', 'PyTorch', 'Scikit-learn', 'Pandas', 'NumPy', 'SQL', 'Data Wrangling', 'Machine Learning Algorithms', 'Deep Learning', 'Model Deployment', 'Version Control (Git)', 'Communication', 'Problem-solving', 'Teamwork']"
AI/ML Engineer,NVIDIA,1200000,"['Python', 'TensorFlow', 'PyTorch', 'Scikit-learn', 'Pandas', 'NumPy', 'SQL', 'Data Visualization (Matplotlib, Seaborn)', 'Machine Learning Algorithms (Regression, Classification, Clustering)', 'Deep Learning', 'Model Deployment', 'Git', 'Problem-solving', 'Communication', 'Teamwork', 'Linux']"
App Developer,Meta,1200000,"['Java', 'Kotlin', 'React Native', 'Android SDK', 'iOS SDK', 'REST APIs', 'Git', 'Agile Development', 'Problem-solving', 'Debugging', 'Version Control', 'Communication', 'Teamwork', 'Object-Oriented Programming', 'Unit Testing']"
App Developer,Spotify,700000,"['Java', 'Kotlin', 'Android SDK', 'iOS SDK (Swift/Objective-C)', 'REST APIs', 'JSON', 'Git', 'Agile development', 'Problem-solving', 'Debugging', 'Version control', 'Testing (unit and integration)', 'UI/UX understanding', 'Communication', 'Teamwork']"
Backend Developer,Amazon,800000,"['Java', 'Python', 'SQL', 'NoSQL Databases (e.g., DynamoDB, MongoDB)', 'RESTful APIs', 'Microservices Architecture', 'AWS Services (e.g., EC2, S3, Lambda)', 'Git', 'Agile Development', 'Problem-solving', 'Communication', 'Teamwork', 'Debugging', 'Object-Oriented Programming (OOP)', 'Data Structures and Algorithms']"
Backend Developer,Netflix,1800000,"['Java', 'Python', 'Node.js', 'Spring Boot', 'Microservices', 'RESTful APIs', 'Databases (SQL & NoSQL)', 'Git', 'Agile Development', 'Problem-solving', 'Communication', 'Teamwork', 'Linux', 'Docker', 'Cloud Platforms (AWS/GCP/Azure)']"
Business Analyst,McKinsey & Company,1500000,"['Problem-solving', 'Analytical skills', 'Data analysis (Excel, SQL)', 'Financial modeling', 'Market research', 'Presentation skills', 'Communication (written & verbal)', 'Client interaction', 'Teamwork', 'Project management', 'Storytelling', 'Business acumen', 'Microsoft Office Suite', 'Data visualization (Tableau, Power BI)', 'Strategic thinking']"
Business Analyst,Deloitte,600000,"['Requirements Elicitation', 'Data Analysis', 'SQL', 'Excel (Advanced)', 'Presentation Skills', 'Communication (Written & Verbal)', 'Problem-solving', 'Analytical Skills', 'Business Process Modeling', 'Stakeholder Management', 'Microsoft PowerPoint', 'Microsoft Word', 'Report Writing', 'Data Visualization (Tableau/Power BI)', 'Agile Methodologies']"
Cybersecurity Analyst,CrowdStrike,700000,"['Security Information and Event Management (SIEM) tools', 'Network Security', 'Endpoint Detection and Response (EDR)', 'Threat Intelligence', 'Incident Response', 'Vulnerability Management', 'Security Auditing', 'Log Analysis', 'System Administration (Linux/Windows)', 'Python scripting', 'Problem-solving', 'Communication skills', 'Teamwork', 'Attention to detail', 'Analytical skills']"
Cybersecurity Analyst,Palo Alto Networks,700000,"['Network Security', 'Security Information and Event Management (SIEM)', 'Threat Intelligence', 'Incident Response', 'Vulnerability Management', 'Security Auditing', 'Log Analysis', 'Endpoint Security', 'Basic scripting (Python, PowerShell)', 'Linux/Windows administration', 'Problem-solving', 'Communication skills', 'Teamwork', 'Analytical Skills', 'Attention to detail']"
Data Analyst,IBM,600000,"['SQL', 'Python (Pandas, NumPy)', 'Data Cleaning & Wrangling', 'Data Visualization (Tableau, Power BI)', 'Excel (Advanced)', 'Data Storytelling', 'Statistical Analysis', 'Database Management', 'Problem-solving', 'Communication (written & verbal)', 'Teamwork', 'Analytical Skills', 'Report writing', 'Version Control (Git)', 'Data Mining']"
Data Analyst,Airbnb,700000,"['SQL', 'Python (Pandas, NumPy)', 'Data Visualization (Tableau, Power BI)', 'Data Cleaning and Wrangling', 'Statistical Analysis', 'Excel (Advanced)', 'Data Storytelling', 'Communication (written and verbal)', 'Problem-solving', 'Analytical Thinking', 'Attention to detail', 'Database Management', 'A/B testing', 'R (desirable)', 'Presentation Skills']"
DevOps Engineer,Red Hat,700000,"['Linux System Administration', 'Containerization (Docker, Kubernetes)', 'CI/CD Pipelines (Jenkins, GitLab CI)', 'Cloud Computing (AWS, Azure, GCP)', 'Scripting (Bash, Python)', 'Version Control (Git)', 'Infrastructure as Code (Terraform, Ansible)', 'Monitoring and Logging (Prometheus, Grafana, ELK Stack)', 'Agile Methodologies', 'Problem-solving', 'Teamwork', 'Communication', 'Automation', 'Troubleshooting', 'Linux Command Line']"
DevOps Engineer,Atlassian,800000,"['Linux', 'Docker', 'Kubernetes', 'AWS/Azure/GCP (at least one)', 'CI/CD pipelines (Jenkins, GitLab CI, etc.)', 'Git', 'Bash scripting', 'Terraform or Ansible', 'Monitoring tools (Prometheus, Grafana, Datadog)', 'Troubleshooting', 'Collaboration', 'Communication', 'Problem-solving', 'Agile methodologies', 'Python/Go (basic scripting)']"
Frontend Developer,Shopify,700000,"['HTML', 'CSS', 'JavaScript', 'React', 'Redux', 'Git', 'Responsive Design', 'Cross-browser Compatibility', 'REST APIs', 'Problem-solving', 'Communication', 'Teamwork', 'Agile Development', 'Version Control', 'Testing (unit and integration)']"
Frontend Developer,Adobe,700000,"['HTML', 'CSS', 'JavaScript', 'React', 'Angular', 'or Vue.js', 'Responsive Design', 'Cross-browser Compatibility', 'Git', 'Version Control', 'Agile Development', 'Problem-solving', 'Communication', 'Teamwork', 'UI/UX Fundamentals']"
FullStack Developer,Uber,1200000,"['JavaScript', 'React', 'Node.js', 'HTML', 'CSS', 'SQL', 'NoSQL (e.g., MongoDB)', 'Git', 'REST APIs', 'Agile Development', 'Problem-solving', 'Communication', 'Teamwork', 'Version Control', 'Testing (unit and integration)']"
FullStack Developer,Stripe,2000000,"['JavaScript', 'React', 'Node.js', 'Python', 'SQL', 'Databases (PostgreSQL, MySQL)', 'REST APIs', 'Git', 'Agile Development', 'Problem-solving', 'Communication', 'Teamwork', 'Testing (unit & integration)', 'Version Control', 'Debugging']"
Network Engineer,Cisco,600000,"['Routing Protocols (OSPF, BGP, EIGRP)', 'Switching Technologies (VLANs, STP, RSTP)', 'Network Security (Firewalls, ACLs, VPNs)', 'IP Addressing and Subnetting', 'Troubleshooting Network Issues', 'Network Monitoring Tools (SolarWinds, Nagios)', 'Cisco IOS/IOS-XE', 'Basic Linux Commands', 'Network Documentation', 'Teamwork and Collaboration', 'Communication Skills (written and verbal)', 'Problem-solving', 'Time Management', 'Analytical Skills', 'Basic understanding of Cloud Networking (AWS, Azure, GCP)']"
Network Engineer,Juniper Networks,600000,"['Routing Protocols (BGP, OSPF, EIGRP)', 'Switching Technologies (VLANs, STP, RSTP)', 'IP Addressing and Subnetting', 'Network Security Fundamentals (Firewalls, VPNs)', 'Juniper Junos OS', 'Network Monitoring Tools (SolarWinds, Nagios)', 'Troubleshooting Network Issues', 'Basic Linux Command Line', 'Network Documentation', 'Communication Skills', 'Teamwork', 'Problem-solving', 'Time Management', 'Analytical Skills', 'Basic Python scripting (for automation)']"
Product Engineer,Tesla,1200000,"['Proficient in Python or MATLAB', 'Data Analysis & Visualization', 'Mechanical aptitude', 'Electrical Systems understanding', 'CAD Software (SolidWorks, AutoCAD)', 'Problem-solving & analytical skills', 'Project Management Basics', 'Communication Skills (written & verbal)', 'Teamwork & Collaboration', 'Version Control (Git)', 'Testing and Validation', 'DFMEA/PFMEA knowledge (Desirable)', 'Manufacturing processes understanding (Desirable)', 'Understanding of engineering design principles', 'Quality Control methodologies']"
Product Engineer,SpaceX,1800000,"['C++', 'Python', 'Embedded Systems', 'Robotics', 'Mechanical Design', 'CAD Software (SolidWorks, AutoCAD)', 'Electronics', 'Testing & Verification', 'Problem-solving', 'Teamwork', 'Communication', 'Project Management', 'Version Control (Git)', 'Documentation', 'Aerospace Engineering Principles']"
Software Developer,Oracle,700000,"['Java', 'SQL', 'PL/SQL', 'Python', 'C++', 'Data Structures and Algorithms', 'Object-Oriented Programming', 'Version Control (Git)', 'Agile Development', 'Problem-solving', 'Communication', 'Teamwork', 'Debugging', 'Testing', 'Database Management']"
Software Developer,SAP,600000,"['Java', 'ABAP', 'SQL', 'Python', 'Problem-solving', 'Data Structures and Algorithms', 'Object-Oriented Programming', 'Version Control (Git)', 'Agile Methodologies', 'Communication', 'Teamwork', 'Analytical Skills', 'Debugging', 'Software Testing', 'SAP UI5 (desirable)']"
Software Engineer,LinkedIn,800000,"['Java', 'Python', 'SQL', 'Data Structures and Algorithms', 'Object-Oriented Programming', 'REST APIs', 'Git', 'Agile Development', 'Problem-solving', 'Communication', 'Teamwork', 'Version Control', 'Testing (unit/integration)', 'Debugging', 'Linux']"
Software Engineer,Bloomberg,1200000,"['Java', 'Python', 'C++', 'Data Structures', 'Algorithms', 'Object-Oriented Programming', 'SQL', 'NoSQL Databases', 'Git', 'Agile Development', 'Problem-solving', 'Communication', 'Teamwork', 'Debugging', 'Testing']"
Software Tester,Infosys,400000,"['Test Case Design', 'Test Execution', 'Defect Reporting', 'Bug Tracking (Jira, Bugzilla)', 'SQL', 'Selenium/Appium (basic)', 'Manual Testing', 'Test Automation (basic)', 'Agile Methodologies', 'Communication Skills', 'Problem-solving', 'Analytical Skills', 'Teamwork', 'Time Management', 'Documentation']"
Software Tester,Cognizant,400000,"['Manual Testing', 'Test Case Design', 'Defect Reporting', 'Test Plan Creation', 'SQL', 'Bug Tracking Tools (Jira, Mantis)', 'Agile Methodologies', 'Communication Skills', 'Problem-Solving', 'Analytical Skills', 'Test Automation (basic understanding)', 'Selenium (basic understanding)', 'API Testing (basic understanding)', 'Linux Basics', 'Version Control (Git - basic understanding)']"
Technical Support Engineer,Dell,350000,"['Troubleshooting', 'Hardware Diagnostics', 'Software Installation', 'Operating Systems (Windows, Linux)', 'Networking Basics', 'Remote Support Tools', 'Customer Communication', 'Problem-Solving', 'Active Listening', 'Patience', 'Technical Documentation', 'Ticketing Systems', 'Escalation Procedures', 'Basic IT Security', 'Time Management']"
Technical Support Specialist,HP,350000,"['Troubleshooting', 'Hardware Diagnostics', 'Software Installation', 'Operating Systems (Windows, macOS)', 'Networking Fundamentals', 'Customer Service', 'Communication (written & verbal)', 'Problem-solving', 'Active Listening', 'Technical Documentation', 'Remote Support Tools', 'Ticketing Systems', 'Escalation Procedures', 'Basic IT Security', 'Time Management']"
